Component,Origin,License,Copyright
vendor,aho-corasick,MIT OR Unlicense,
vendor,arbitrary,Apache-2.0 OR MIT,
vendor,atty,MIT,
vendor,autocfg,Apache-2.0 OR MIT,
vendor,bitflags,Apache-2.0 OR MIT,
vendor,byteorder,MIT OR Unlicense,
vendor,cbindgen,MPL-2.0,
vendor,cc,Apache-2.0 OR MIT,
vendor,cfg-if,Apache-2.0 OR MIT,
vendor,check_conf,None,
vendor,clap,Apache-2.0 OR MIT,
vendor,clap_lex,Apache-2.0 OR MIT,
vendor,csbindgen,MIT,
vendor,diff,Apache-2.0 OR MIT,
vendor,errno,Apache-2.0 OR MIT,
vendor,fastrand,Apache-2.0 OR MIT,
vendor,getrandom,Apache-2.0 OR MIT,
vendor,hashbrown,Apache-2.0 OR MIT,
vendor,heck,Apache-2.0 OR MIT,
vendor,hermit-abi,Apache-2.0 OR MIT,
vendor,indexmap,Apache-2.0 OR MIT,
vendor,inject-browser-sdk,None,
vendor,inject-browser-sdk-ffi,None,
vendor,inject-browser-sdk-fuzz,None,
vendor,itoa,Apache-2.0 OR MIT,
vendor,jobserver,Apache-2.0 OR MIT,
vendor,libc,Apache-2.0 OR MIT,
vendor,libfuzzer-sys,Apache-2.0 OR MIT OR NCSA,
vendor,linux-raw-sys,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT,
vendor,log,Apache-2.0 OR MIT,
vendor,memchr,MIT OR Unlicense,
vendor,once_cell,Apache-2.0 OR MIT,
vendor,os_str_bytes,Apache-2.0 OR MIT,
vendor,ppv-lite86,Apache-2.0 OR MIT,
vendor,pretty_assertions,Apache-2.0 OR MIT,
vendor,proc-macro2,Apache-2.0 OR MIT,
vendor,quote,Apache-2.0 OR MIT,
vendor,rand,Apache-2.0 OR MIT,
vendor,rand_chacha,Apache-2.0 OR MIT,
vendor,rand_core,Apache-2.0 OR MIT,
vendor,regex,Apache-2.0 OR MIT,
vendor,regex-automata,Apache-2.0 OR MIT,
vendor,regex-syntax,Apache-2.0 OR MIT,
vendor,rustix,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT,
vendor,ryu,Apache-2.0 OR BSL-1.0,
vendor,serde,Apache-2.0 OR MIT,
vendor,serde_derive,Apache-2.0 OR MIT,
vendor,serde_json,Apache-2.0 OR MIT,
vendor,shlex,Apache-2.0 OR MIT,
vendor,strsim,MIT,
vendor,syn,Apache-2.0 OR MIT,
vendor,tempfile,Apache-2.0 OR MIT,
vendor,termcolor,MIT OR Unlicense,
vendor,textwrap,MIT,
vendor,toml,Apache-2.0 OR MIT,
vendor,unicode-ident,(MIT OR Apache-2.0) AND Unicode-3.0,
vendor,wasi,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT,
vendor,winapi,Apache-2.0 OR MIT,
vendor,winapi-i686-pc-windows-gnu,Apache-2.0 OR MIT,
vendor,winapi-util,MIT OR Unlicense,
vendor,winapi-x86_64-pc-windows-gnu,Apache-2.0 OR MIT,
vendor,windows-sys,Apache-2.0 OR MIT,
vendor,windows-targets,Apache-2.0 OR MIT,
vendor,windows_aarch64_gnullvm,Apache-2.0 OR MIT,
vendor,windows_aarch64_msvc,Apache-2.0 OR MIT,
vendor,windows_i686_gnu,Apache-2.0 OR MIT,
vendor,windows_i686_gnullvm,Apache-2.0 OR MIT,
vendor,windows_i686_msvc,Apache-2.0 OR MIT,
vendor,windows_x86_64_gnu,Apache-2.0 OR MIT,
vendor,windows_x86_64_gnullvm,Apache-2.0 OR MIT,
vendor,windows_x86_64_msvc,Apache-2.0 OR MIT,
vendor,yansi,Apache-2.0 OR MIT,
vendor,zerocopy,Apache-2.0 OR BSD-2-Clause OR MIT,
vendor,zerocopy-derive,Apache-2.0 OR BSD-2-Clause OR MIT,
vendor,Markdown,BSD LICENSE,
vendor,Pygments,BSD LICENSE,
vendor,aiohappyeyeballs,PYTHON SOFTWARE FOUNDATION LICENSE;; OTHER/PROPRIETARY LICENSE,
vendor,aiohttp,APACHE SOFTWARE LICENSE,
vendor,aiosignal,APACHE SOFTWARE LICENSE,
vendor,appdirs,MIT LICENSE,
vendor,async-timeout,APACHE SOFTWARE LICENSE,
vendor,attrs,MIT LICENSE,
vendor,cattrs,MIT LICENSE,
vendor,certifi,MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0),
vendor,charset-normalizer,MIT LICENSE,
vendor,exceptiongroup,MIT LICENSE,
vendor,fhconfparser,MIT LICENSE,
vendor,frozenlist,APACHE SOFTWARE LICENSE,
vendor,idna,BSD LICENSE,
vendor,importlib_metadata,APACHE SOFTWARE LICENSE,
vendor,iniconfig,MIT LICENSE,
vendor,licensecheck,MIT LICENSE,
vendor,loguru,MIT LICENSE,
vendor,markdown-it-py,MIT LICENSE,
vendor,mdurl,MIT LICENSE,
vendor,multidict,APACHE SOFTWARE LICENSE,
vendor,packaging,APACHE SOFTWARE LICENSE;; BSD LICENSE,
vendor,platformdirs,MIT LICENSE,
vendor,pluggy,MIT LICENSE,
vendor,propcache,APACHE SOFTWARE LICENSE,
vendor,pytest,MIT LICENSE,
vendor,requests,APACHE SOFTWARE LICENSE,
vendor,requests-cache,BSD LICENSE,
vendor,requirements-parser,APACHE SOFTWARE LICENSE,
vendor,rich,MIT LICENSE,
vendor,six,MIT LICENSE,
vendor,tomli,MIT LICENSE,
vendor,types-setuptools,APACHE SOFTWARE LICENSE,
vendor,typing_extensions,PYTHON SOFTWARE FOUNDATION LICENSE,
vendor,url-normalize,MIT LICENSE,
vendor,urllib3,MIT LICENSE,
vendor,uv,MIT LICENSE;; APACHE SOFTWARE LICENSE,
vendor,yarl,APACHE SOFTWARE LICENSE,
vendor,zipp,MIT LICENSE,
